Weight exponent,Max weight,Accuracy,Precision,Recall,F1-Score
1.0,0.28791263340779355,0.28575,0.24145697354820844,0.2262922032484653,0.19490036665779134
2.0,0.3254797476177403,0.28575,0.24145697354820844,0.2262922032484653,0.19490036665779134
2.5,0.3438048162646744,0.27375,0.23729987767468627,0.22972450932690786,0.19300537948491886
3.0,0.36167731220765575,0.27375,0.23729987767468627,0.22972450932690786,0.19300537948491886
3.5,0.3790089224033854,0.27375,0.23729987767468627,0.22972450932690786,0.19300537948491886
4.0,0.3957299095287454,0.27375,0.23729987767468627,0.22972450932690786,0.19300537948491886
4.5,0.41178888899840366,0.279375,0.23892184107512685,0.22782849991777804,0.19543820909992515
5.0,0.4271518317448491,0.279375,0.23892184107512685,0.22782849991777804,0.19543820909992515
5.5,0.44180049194657534,0.272375,0.23610358461085423,0.22686402412233878,0.1922107852551282
6.0,0.45573046132877076,0.272375,0.23610358461085423,0.22686402412233878,0.1922107852551282
6.5,0.4689490343354434,0.272375,0.23610358461085423,0.22686402412233878,0.1922107852551282
7.0,0.4814730386575681,0.272125,0.23608223252663071,0.2290241281760877,0.19269398427393197
7.5,0.49332675009468274,0.272125,0.23608223252663071,0.2290241281760877,0.19269398427393197
8.0,0.5045399749479713,0.26475,0.23441837381685834,0.2285016147591909,0.19005569166477443
