Weight exponent,Max weight,Accuracy,Precision,Recall,F1-Score
1.0,0.28791263340779355,0.588875,0.584038046593609,0.591505959992992,0.5693876088807825
2.0,0.3254797476177403,0.588875,0.584038046593609,0.591505959992992,0.5693876088807825
3.0,0.36167731220765575,0.587625,0.582794207660331,0.590103173442063,0.5667329273368993
4.0,0.3957299095287454,0.587625,0.582794207660331,0.590103173442063,0.5667329273368993
4.5,0.41178888899840366,0.594125,0.5894947941044227,0.5969543142378113,0.5771276550250957
5.0,0.4271518317448491,0.594125,0.5894947941044227,0.5969543142378113,0.5771276550250957
5.5,0.44180049194657534,0.592,0.5895972861513761,0.5957727053828105,0.5757554459205803
6.0,0.45573046132877076,0.592,0.5895972861513761,0.5957727053828105,0.5757554459205803
6.5,0.4689490343354434,0.592,0.5895972861513761,0.5957727053828105,0.5757554459205803
7.0,0.4814730386575681,0.59175,0.5891411170908324,0.5957916441284857,0.576287199515247
7.5,0.49332675009468274,0.59175,0.5891411170908324,0.5957916441284857,0.576287199515247
8.0,0.5045399749479713,0.58675,0.5855613712977134,0.591857344037391,0.5737596834549086
