Weight exponent,Max weight,Accuracy,Precision,Recall,F1-Score
1,0.3621604745551046,0.592475,0.589531151460892,0.593398778697619,0.5713761565690043
2,0.3898110302963937,0.592475,0.589531151460892,0.593398778697619,0.5713761565690043
3,0.4159999311670129,0.592475,0.589531151460892,0.593398778697619,0.5713761565690043
4,0.44055110122835617,0.592475,0.589531151460892,0.593398778697619,0.5713761565690043
5,0.4633875545795923,0.592475,0.589531151460892,0.593398778697619,0.5713761565690043
6,0.4845141798020587,0.592475,0.589531151460892,0.593398778697619,0.5713761565690043
7,0.5039975188731926,0.592025,0.5900719727693077,0.5947269755485497,0.5773498946381919
